genero,especie,latitude,longitude
Oxysarcodexia,thornax,-19.394979,-41.669324
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,,
Oxysarcodexia,thornax,,
Oxysarcodexia,thornax,,
Oxysarcodexia,thornax,,
Oxysarcodexia,thornax,,
Oxysarcodexia,thornax,,
Oxysarcodexia,thornax,,
Oxysarcodexia,thornax,,
Oxysarcodexia,thornax,,
Oxysarcodexia,thornax,,
Oxysarcodexia,thornax,,
Oxysarcodexia,thornax,,
Oxysarcodexia,thornax,,
Oxysarcodexia,thornax,,
Oxysarcodexia,thornax,,
Oxysarcodexia,thornax,,
Oxysarcodexia,thornax,,
Oxysarcodexia,thornax,,
Oxysarcodexia,thornax,,
Oxysarcodexia,thornax,,
Oxysarcodexia,thornax,,
Oxysarcodexia,thornax,,
Oxysarcodexia,thornax,,
Oxysarcodexia,thornax,,
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
Oxysarcodexia,thornax,-3.85472,-32.44056
